% Model,VAM_UC_-_dispersivity_0-07m_-_2017-05-30.mph
% Version,COMSOL 5.3.0.223
% Date,"May 30 2017, 14:57"
% Table,Table 1 (c_n - point_4) - Point Evaluation 1 - c_n (c_n)
% Time (s),"Concentration (kg/m^3), Point: 4"
1199000,1.1685487829019219E-5
1200000,1.1612969805862798E-5
1201000,1.1540451782706377E-5
1202000,1.1467933759549957E-5
1203000,1.1395415736393536E-5
1204000,1.1322897713237115E-5
1205000,1.1250379690080696E-5
1206000,1.1177861666924275E-5
1207000,1.1105343643767855E-5
1208000,1.1032825620611436E-5
1209000,1.0960307597455014E-5
1210000,1.0887789574298593E-5
1211000,1.0815271551142174E-5
1212000,1.0742753527985753E-5
1213000,1.0670235504829333E-5
1214000,1.0597717481672914E-5
1215000,1.0525199458516493E-5
1216000,1.0452681435360072E-5
1217000,1.0380163412203652E-5
1218000,1.0307645389047231E-5
1219000,1.023512736589081E-5
1220000,1.0162609342734392E-5
1221000,1.0090091319577971E-5
1222000,1.001757329642155E-5
1223000,9.94505527326513E-6
1224000,9.87253725010871E-6
1225000,9.800019226952288E-6
1226000,9.727501203795869E-6
1227000,9.65498318063945E-6
1228000,9.58246515748303E-6
1229000,9.509947134326609E-6
1230000,9.437429111170187E-6
1231000,9.364911088013768E-6
1232000,9.292393064857347E-6
1233000,9.219875041700926E-6
1234000,9.147357018544508E-6
1235000,9.074838995388087E-6
1236000,9.002320972231666E-6
1237000,8.929802949075246E-6
1238000,8.857284925918825E-6
1239000,8.784766902762404E-6
1240000,8.712248879605984E-6
1241000,8.639730856449565E-6
1242000,8.567212833293144E-6
1243000,8.51502296157878E-6
1244000,8.488172974053601E-6
1245000,8.461322986528423E-6
1246000,8.434472999003244E-6
1247000,8.407623011478066E-6
1248000,8.380773023952888E-6
1249000,8.35392303642771E-6
1250000,8.32707304890253E-6
1251000,8.300223061377353E-6
1252000,8.273373073852173E-6
1253000,8.246523086326995E-6
1254000,8.219673098801817E-6
1255000,8.192823111276638E-6
1256000,8.16597312375146E-6
1257000,8.13912313622628E-6
